concept_id,atc_class,route,name,full_name
46234550,antipsych,PO,quetiapine,{1 (24 HR quetiapine 200 MG Extended Release Oral Tablet [Seroquel]) / 11 (24 HR quetiapine 300 MG Extended Release Oral Tablet [Seroquel]) / 3 (24 HR quetiapine 50 MG Extended Release Oral Tablet [Seroquel]) } Pack [Seroquel XR 14-Day Sample Kit]
46234541,antipsych,PO,quetiapine,{1 (24 HR quetiapine 200 MG Extended Release Oral Tablet) / 11 (24 HR quetiapine 300 MG Extended Release Oral Tablet) / 3 (24 HR quetiapine 50 MG Extended Release Oral Tablet) } Pack
35604603,antipsych,PO,cariprazine,{1 (cariprazine 1.5 MG Oral Capsule [Vraylar]) / 6 (cariprazine 3 MG Oral Capsule [Vraylar]) } Pack [Vraylar 1.5/3 Mixed Pack]
19135467,antipsych,PO,iloperidone,{2 (iloperidone 1 MG Oral Tablet [Fanapt]) / 2 (iloperidone 2 MG Oral Tablet [Fanapt]) / 2 (iloperidone 4 MG Oral Tablet [Fanapt]) / 2 (iloperidone 6 MG Oral Tablet [Fanapt]) } Pack [Fanapt Titration Pack]
40163942,antipsych,IM/IV,paliperidone,0.25 ML paliperidone palmitate 156 MG/ML Prefilled Syringe
40163943,antipsych,IM/IV,paliperidone,0.25 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega]
40163973,antipsych,IM/IV,paliperidone,0.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe
40163974,antipsych,IM/IV,paliperidone,0.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega]
40163988,antipsych,IM/IV,paliperidone,0.75 ML paliperidone palmitate 156 MG/ML Prefilled Syringe
40163989,antipsych,IM/IV,paliperidone,0.75 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega]
46233814,antipsych,IM/IV,paliperidone,0.88 ML paliperidone palmitate 310 MG/ML Prefilled Syringe
46233816,antipsych,IM/IV,paliperidone,0.88 ML paliperidone palmitate 310 MG/ML Prefilled Syringe [Invega]
35605389,antipsych,IM/IV,chlorpromazine,1 ML chlorpromazine hydrochloride 25 MG/ML Injection
40163875,antipsych,IM/IV,fluphenazine,1 ML fluphenazine decanoate 25 MG/ML Prefilled Syringe
35603238,antipsych,IM/IV,haloperidol,1 ML haloperidol 5 MG/ML Injection
35603243,antipsych,IM/IV,haloperidol,1 ML haloperidol 5 MG/ML Injection [Haldol]
1593510,antipsych,IM/IV,haloperidol,1 ML haloperidol 5 MG/ML Prefilled Syringe
35603089,antipsych,IM/IV,haloperidol,1 ML haloperidol decanoate 100 MG/ML Injection
35603091,antipsych,IM/IV,haloperidol,1 ML haloperidol decanoate 100 MG/ML Injection [Haldol]
35603093,antipsych,IM/IV,haloperidol,1 ML haloperidol decanoate 50 MG/ML Injection
35603101,antipsych,IM/IV,haloperidol,1 ML haloperidol decanoate 50 MG/ML Injection [Haldol]
40163884,antipsych,IM/IV,paliperidone,1 ML paliperidone palmitate 156 MG/ML Prefilled Syringe
40163885,antipsych,IM/IV,paliperidone,1 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega]
757795,antipsych,IM/IV,aripiprazole,1.3 ML aripiprazole 7.5 MG/ML Injection
19125353,antipsych,IM/IV,aripiprazole,1.3 ML aripiprazole 7.5 MG/ML Injection [Abilify]
46233819,antipsych,IM/IV,paliperidone,1.32 ML paliperidone palmitate 311 MG/ML Prefilled Syringe
46233820,antipsych,IM/IV,paliperidone,1.32 ML paliperidone palmitate 311 MG/ML Prefilled Syringe [Invega]
45892182,antipsych,IM/IV,aripiprazole,1.5 ML aripiprazole 200 MG/ML Prefilled Syringe
45892208,antipsych,IM/IV,aripiprazole,1.5 ML aripiprazole 200 MG/ML Prefilled Syringe [Abilify]
40163887,antipsych,IM/IV,paliperidone,1.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe
40163888,antipsych,IM/IV,paliperidone,1.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega]
46233821,antipsych,IM/IV,paliperidone,1.75 ML paliperidone palmitate 312 MG/ML Prefilled Syringe
46233822,antipsych,IM/IV,paliperidone,1.75 ML paliperidone palmitate 312 MG/ML Prefilled Syringe [Invega]
45892184,antipsych,IM/IV,aripiprazole,2 ML aripiprazole 200 MG/ML Prefilled Syringe
45892210,antipsych,IM/IV,aripiprazole,2 ML aripiprazole 200 MG/ML Prefilled Syringe [Abilify]
35605391,antipsych,IM/IV,chlorpromazine,2 ML chlorpromazine hydrochloride 25 MG/ML Injection
739329,antipsych,IM/IV,droperidol,2 ML droperidol 2.5 MG/ML Injection
40163894,antipsych,IM/IV,fluphenazine,2 ML fluphenazine decanoate 25 MG/ML Prefilled Syringe
752209,antipsych,IM/IV,prochlorperazine,2 ML prochlorperazine 5 MG/ML Injection
46233823,antipsych,IM/IV,paliperidone,2.63 ML paliperidone palmitate 311 MG/ML Prefilled Syringe
46233824,antipsych,IM/IV,paliperidone,2.63 ML paliperidone palmitate 311 MG/ML Prefilled Syringe [Invega]
40166834,antipsych,PO,paliperidone,24 HR paliperidone 1.5 MG Extended Release Oral Tablet
40166835,antipsych,PO,paliperidone,24 HR paliperidone 1.5 MG Extended Release Oral Tablet [Invega]
703246,antipsych,PO,paliperidone,24 HR paliperidone 3 MG Extended Release Oral Tablet
703251,antipsych,PO,paliperidone,24 HR paliperidone 3 MG Extended Release Oral Tablet [Invega]
703248,antipsych,PO,paliperidone,24 HR paliperidone 6 MG Extended Release Oral Tablet
703252,antipsych,PO,paliperidone,24 HR paliperidone 6 MG Extended Release Oral Tablet [Invega]
703250,antipsych,PO,paliperidone,24 HR paliperidone 9 MG Extended Release Oral Tablet
703253,antipsych,PO,paliperidone,24 HR paliperidone 9 MG Extended Release Oral Tablet [Invega]
40169352,antipsych,PO,quetiapine,24 HR quetiapine 150 MG Extended Release Oral Tablet
40169353,antipsych,PO,quetiapine,24 HR quetiapine 150 MG Extended Release Oral Tablet [Seroquel]
766925,antipsych,PO,quetiapine,24 HR quetiapine 200 MG Extended Release Oral Tablet
766926,antipsych,PO,quetiapine,24 HR quetiapine 200 MG Extended Release Oral Tablet [Seroquel]
766927,antipsych,PO,quetiapine,24 HR quetiapine 300 MG Extended Release Oral Tablet
766928,antipsych,PO,quetiapine,24 HR quetiapine 300 MG Extended Release Oral Tablet [Seroquel]
766929,antipsych,PO,quetiapine,24 HR quetiapine 400 MG Extended Release Oral Tablet
766930,antipsych,PO,quetiapine,24 HR quetiapine 400 MG Extended Release Oral Tablet [Seroquel]
40160985,antipsych,PO,quetiapine,24 HR quetiapine 50 MG Extended Release Oral Tablet
40160986,antipsych,PO,quetiapine,24 HR quetiapine 50 MG Extended Release Oral Tablet [Seroquel]
756263,antipsych,IM/IV,fluphenazine,5 ML fluphenazine 25 MG/ML Prefilled Syringe
40162658,antipsych,PO,perphenazine,amitriptyline hydrochloride 10 MG / perphenazine 2 MG Oral Tablet
40162661,antipsych,PO,perphenazine,amitriptyline hydrochloride 10 MG / perphenazine 2 MG Oral Tablet [Triavil]
40162665,antipsych,PO,perphenazine,amitriptyline hydrochloride 10 MG / perphenazine 4 MG Oral Tablet
40162704,antipsych,PO,perphenazine,amitriptyline hydrochloride 25 MG / perphenazine 2 MG Oral Tablet
40162707,antipsych,PO,perphenazine,amitriptyline hydrochloride 25 MG / perphenazine 2 MG Oral Tablet [Triavil]
40162711,antipsych,PO,perphenazine,amitriptyline hydrochloride 25 MG / perphenazine 4 MG Oral Tablet
40162726,antipsych,PO,perphenazine,amitriptyline hydrochloride 50 MG / perphenazine 4 MG Oral Tablet [Triavil]
757688,antipsych,ingredient,aripiprazole,aripiprazole
35143901,antipsych,PO,aripiprazole,aripiprazole 1 MG
757755,antipsych,PO,aripiprazole,aripiprazole 1 MG/ML Oral Solution
757756,antipsych,PO,aripiprazole,aripiprazole 1 MG/ML Oral Solution [Abilify]
19097799,antipsych,PO,aripiprazole,aripiprazole 10 MG
19121000,antipsych,PO,aripiprazole,aripiprazole 10 MG [Abilify]
19124358,antipsych,PO,aripiprazole,aripiprazole 10 MG Disintegrating Oral Tablet
19124359,antipsych,PO,aripiprazole,aripiprazole 10 MG Disintegrating Oral Tablet [Abilify]
757690,antipsych,PO,aripiprazole,aripiprazole 10 MG Oral Tablet
19098477,antipsych,PO,aripiprazole,aripiprazole 10 MG Oral Tablet [Abilify]
19121001,antipsych,PO,aripiprazole,aripiprazole 15 MG [Abilify]
19124360,antipsych,PO,aripiprazole,aripiprazole 15 MG Disintegrating Oral Tablet
19124361,antipsych,PO,aripiprazole,aripiprazole 15 MG Disintegrating Oral Tablet [Abilify]
19096776,antipsych,PO,aripiprazole,aripiprazole 15 MG Oral Tablet
19098478,antipsych,PO,aripiprazole,aripiprazole 15 MG Oral Tablet [Abilify]
19031663,antipsych,PO,aripiprazole,aripiprazole 2 MG [Abilify]
19122479,antipsych,PO,aripiprazole,aripiprazole 2 MG Oral Tablet
757759,antipsych,PO,aripiprazole,aripiprazole 2 MG Oral Tablet [Abilify]
19097816,antipsych,PO,aripiprazole,aripiprazole 20 MG
19121002,antipsych,PO,aripiprazole,aripiprazole 20 MG [Abilify]
19124362,antipsych,PO,aripiprazole,aripiprazole 20 MG Disintegrating Oral Tablet
757712,antipsych,PO,aripiprazole,aripiprazole 20 MG Oral Tablet
19098479,antipsych,PO,aripiprazole,aripiprazole 20 MG Oral Tablet [Abilify]
19097800,antipsych,PO,aripiprazole,aripiprazole 30 MG
19121003,antipsych,PO,aripiprazole,aripiprazole 30 MG [Abilify]
757691,antipsych,PO,aripiprazole,aripiprazole 30 MG Oral Tablet
19098480,antipsych,PO,aripiprazole,aripiprazole 30 MG Oral Tablet [Abilify]
46275769,antipsych,IM/IV,aripiprazole,aripiprazole 300 MG Injection
46275771,antipsych,IM/IV,aripiprazole,aripiprazole 300 MG Injection [Abilify]
46275765,antipsych,IM/IV,aripiprazole,aripiprazole 400 MG Injection
46275767,antipsych,IM/IV,aripiprazole,aripiprazole 400 MG Injection [Abilify]
19102252,antipsych,PO,aripiprazole,aripiprazole 5 MG
19031662,antipsych,PO,aripiprazole,aripiprazole 5 MG [Abilify]
19102213,antipsych,PO,aripiprazole,aripiprazole 5 MG Oral Tablet
19102836,antipsych,PO,aripiprazole,aripiprazole 5 MG Oral Tablet [Abilify]
19031664,antipsych,IM/IV,aripiprazole,aripiprazole 7.5 MG/ML [Abilify]
46275748,antipsych,IM/IV,aripiprazole,aripiprazole Injection
40164052,antipsych,PO,asenapine,asenapine
40164054,antipsych,PO,asenapine,asenapine 10 MG Sublingual Tablet
40164055,antipsych,PO,asenapine,asenapine 10 MG Sublingual Tablet [Saphris]
46221719,antipsych,PO,asenapine,asenapine 2.5 MG Sublingual Tablet
46221741,antipsych,PO,asenapine,asenapine 2.5 MG Sublingual Tablet [Saphris]
40164058,antipsych,PO,asenapine,asenapine 5 MG Sublingual Tablet
40164059,antipsych,PO,asenapine,asenapine 5 MG Sublingual Tablet [Saphris]
46275300,antipsych,PO,brexpiprazole,brexpiprazole
46275303,antipsych,PO,brexpiprazole,brexpiprazole 0.25 MG Oral Tablet
46275307,antipsych,PO,brexpiprazole,brexpiprazole 0.25 MG Oral Tablet [Rexulti]
46275309,antipsych,PO,brexpiprazole,brexpiprazole 0.5 MG Oral Tablet
46275311,antipsych,PO,brexpiprazole,brexpiprazole 0.5 MG Oral Tablet [Rexulti]
46275313,antipsych,PO,brexpiprazole,brexpiprazole 1 MG Oral Tablet
46275315,antipsych,PO,brexpiprazole,brexpiprazole 1 MG Oral Tablet [Rexulti]
46275317,antipsych,PO,brexpiprazole,brexpiprazole 2 MG Oral Tablet
46275319,antipsych,PO,brexpiprazole,brexpiprazole 2 MG Oral Tablet [Rexulti]
46275321,antipsych,PO,brexpiprazole,brexpiprazole 3 MG Oral Tablet
46275323,antipsych,PO,brexpiprazole,brexpiprazole 3 MG Oral Tablet [Rexulti]
46275325,antipsych,PO,brexpiprazole,brexpiprazole 4 MG Oral Tablet
46275327,antipsych,PO,brexpiprazole,brexpiprazole 4 MG Oral Tablet [Rexulti]
35603277,antipsych,PO,cariprazine,cariprazine
35603280,antipsych,PO,cariprazine,cariprazine 1.5 MG Oral Capsule
35603284,antipsych,PO,cariprazine,cariprazine 1.5 MG Oral Capsule [Vraylar]
35603286,antipsych,PO,cariprazine,cariprazine 3 MG Oral Capsule
35603288,antipsych,PO,cariprazine,cariprazine 3 MG Oral Capsule [Vraylar]
35603290,antipsych,PO,cariprazine,cariprazine 4.5 MG Oral Capsule
35603292,antipsych,PO,cariprazine,cariprazine 4.5 MG Oral Capsule [Vraylar]
35603294,antipsych,PO,cariprazine,cariprazine 6 MG Oral Capsule
35603296,antipsych,PO,cariprazine,cariprazine 6 MG Oral Capsule [Vraylar]
794852,antipsych,ingredient,chlorpromazine,chlorpromazine
40179618,antipsych,PO,chlorpromazine,chlorpromazine 100 MG [Thorazine]
40179619,antipsych,PO,chlorpromazine,chlorpromazine 25 MG
40179622,antipsych,PO,chlorpromazine,chlorpromazine 25 MG [Thorazine]
41086893,antipsych,IM/IV,chlorpromazine,Chlorpromazine 50 MG Injectable Solution
40179633,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 10 MG
40179637,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 10 MG [Thorazine]
