concept_id,concept_name,Keep,hx
4202590,Able to sleep,0,na
4219553,Abnormal affect,0,na
4089921,Abuse of antacids,0,na
440992,Abuse of antidepressant drug,0,na
4091715,Abuse of herbal medicine,0,na
43020473,Abuse of herbal medicine or folk remedy,0,na
4091714,Abuse of laxatives,0,na
4148093,Abuse of non-dependence-producing substances,0,na
4338023,Abuse of steroids,0,na
4092159,Abuse of vitamins,0,na
440088,Academic underachievement disorder,0,na
4239656,Acrophobia,0,na
439703,Active infantile autism,0,na
4038794,Acute confusion,0,na
37016718,Acute depression,1,depression
436071,Acute exacerbation of chronic catatonic schizophrenia,1,schizo
433734,Acute exacerbation of chronic latent schizophrenia,1,schizo
437243,Acute exacerbation of chronic paranoid schizophrenia,1,schizo
435236,Acute exacerbation of chronic schizoaffective schizophrenia,1,schizo
4100366,Acute exacerbation of chronic schizophrenia,1,schizo
439275,Acute exacerbation of subchronic catatonic schizophrenia,1,schizo
439274,Acute exacerbation of subchronic latent schizophrenia,1,schizo
434901,Acute exacerbation of subchronic paranoid schizophrenia,1,schizo
432865,Acute exacerbation of subchronic schizoaffective schizophrenia,1,schizo
4102965,Acute fugue state due to acute stress reaction,1,psychosis
438737,Acute paranoid reaction,1,psychosis
4100536,Acute post-trauma stress state,1,PTSD
4133495,Acute schizophrenia-like psychotic disorder,1,schizo
4103567,Acute situational disturbance,0,na
440083,Acute stress disorder,1,anxiety
4335169,Acute transient psychotic disorder,1,psychosis
4139144,Addiction,0,na
436677,Adjustment disorder,0,na
44784535,Adjustment disorder in remission,0,na
4050327,Adjustment disorder with academic inhibition,0,na
436075,Adjustment disorder with anxious mood,0,na
44784526,Adjustment disorder with anxious mood in remission,0,na
442306,Adjustment disorder with depressed mood,0,na
435799,Adjustment disorder with disturbance of conduct,0,na
36684319,Adjustment disorder with mixed anxiety and depressed mood,0,na
436076,Adjustment disorder with mixed disturbance of emotions AND conduct,0,na
433454,Adjustment disorder with mixed emotional features,0,na
437258,Adjustment disorder with withdrawal,0,na
4304013,Adjustment reaction of adult life,0,na
441543,Adjustment reaction with physical symptoms,0,na
43021834,Adjustment to life threatening illness,0,na
439691,Adolescent emancipation disorder,0,na
40480225,Adult attention deficit hyperactivity disorder,0,na
438728,Affective personality trait,0,na
40480415,Affective psychosis,1,psychosis
4333671,Age-associated memory impairment,0,na
433451,Aggressive unsocial conduct disorder,0,na
37312035,Agitation due to dementia,0,na
4224339,Agnosia for smell,0,na
4321835,Agoraphobia,1,anxiety
439786,Agoraphobia with panic attacks,1,anxiety
4189538,Agoraphobia without history of panic disorder,1,anxiety
4219627,Agoraphobia without history of panic disorder without limited symptom attacks,1,anxiety
433753,Alcohol abuse,0,na
374623,Alcohol amnestic disorder,0,na
435243,Alcohol dependence,0,na
45757093,Alcohol dependence in pregnancy,0,na
372607,Alcohol hallucinosis,0,na
36713086,Alcohol induced disorder co-occurrent and due to alcohol dependence,0,na
4214950,Alcohol induced hallucinations,0,na
4088373,Alcohol intoxication delirium,0,na
377830,Alcohol withdrawal delirium,0,na
439277,Alcohol withdrawal hallucinosis,0,na
375519,Alcohol withdrawal syndrome,0,na
4146660,Alcohol-induced anxiety disorder,0,na
4205002,Alcohol-induced mood disorder,0,na
376383,Alcohol-induced organic mental disorder,0,na
374317,Alcohol-induced psychosis,0,na
442582,Alcohol-induced psychotic disorder with delusions,0,na
375794,Alcohol-induced sleep disorder,0,na
4218106,Alcoholism,0,na
436222,Altered mental status,0,na
4301359,Altered thought processes,0,na
378419,Alzheimer's disease,0,na
764080,Ambivalent attitude about trying to conceive,0,na
372608,Amnestic disorder,0,na
36712678,Amnestic disorder associated with general medical condition,0,na
