concept_id,concept_name,Keep,hx,domain_id,vocabulary_id,concept_code
37016718,Acute depression,1,depression,Condition,SNOMED,712823008
436071,Acute exacerbation of chronic catatonic schizophrenia,1,schizo,Condition,SNOMED,191548004
433734,Acute exacerbation of chronic latent schizophrenia,1,schizo,Condition,SNOMED,191564007
437243,Acute exacerbation of chronic paranoid schizophrenia,1,schizo,Condition,SNOMED,191555002
435236,Acute exacerbation of chronic schizoaffective schizophrenia,1,schizo,Condition,SNOMED,191572009
4100366,Acute exacerbation of chronic schizophrenia,1,schizo,Condition,SNOMED,191531007
439275,Acute exacerbation of subchronic catatonic schizophrenia,1,schizo,Condition,SNOMED,191547009
439274,Acute exacerbation of subchronic latent schizophrenia,1,schizo,Condition,SNOMED,191563001
434901,Acute exacerbation of subchronic paranoid schizophrenia,1,schizo,Condition,SNOMED,191554003
432865,Acute exacerbation of subchronic schizoaffective schizophrenia,1,schizo,Condition,SNOMED,191571002
4102965,Acute fugue state due to acute stress reaction,1,psychosis,Condition,SNOMED,192038005
4100382,Acute hysterical psychosis,1,psychosis,Condition,SNOMED,191677006
438737,Acute paranoid reaction,1,psychosis,Condition,SNOMED,268624000
4100536,Acute post-trauma stress state,1,PTSD,Condition,SNOMED,192042008
618641,Acute psychosis,1,psychosis,Condition,SNOMED,6.5971E+13
4133495,Acute schizophrenia-like psychotic disorder,1,schizo,Condition,SNOMED,278853003
440083,Acute stress disorder,1,anxiety,Condition,SNOMED,67195008
4335169,Acute transient psychotic disorder,1,psychosis,Condition,SNOMED,231489001
40480415,Affective psychosis,1,psychosis,Condition,SNOMED,441704009
4321835,Agoraphobia,1,anxiety,Condition,SNOMED,70691001
439786,Agoraphobia with panic attacks,1,anxiety,Condition,SNOMED,191722009
4189538,Agoraphobia without history of panic disorder,1,anxiety,Condition,SNOMED,61569007
4219627,Agoraphobia without history of panic disorder without limited symptom attacks,1,anxiety,Condition,SNOMED,82415003
4102935,Anhedonia,1,depression,Condition,SNOMED,28669007
4261239,Anticipatory anxiety,1,anxiety,Condition,SNOMED,35429005
441542,Anxiety,1,anxiety,Condition,SNOMED,48694002
4085058,Anxiety about behavior or performance,1,anxiety,Condition,SNOMED,247825008
4230494,Anxiety about blushing,1,anxiety,Condition,SNOMED,89225005
4084699,Anxiety about body function or health,1,anxiety,Condition,SNOMED,247808006
4080564,Anxiety about dying,1,anxiety,Condition,SNOMED,277827008
4328276,Anxiety about loss of memory,1,anxiety,Condition,SNOMED,431432003
4021501,Anxiety about treatment,1,anxiety,Condition,SNOMED,225635005
4115221,Anxiety attack,1,anxiety,Condition,SNOMED,300895004
442077,Anxiety disorder,1,anxiety,Condition,SNOMED,197480006
42538592,Anxiety disorder caused by stimulant,1,anxiety,Condition,SNOMED,762331007
4199892,Anxiety disorder due to a general medical condition,1,anxiety,Condition,SNOMED,52910006
4288011,Anxiety hyperventilation,1,anxiety,Condition,SNOMED,69479009
4113821,Anxiety state,1,anxiety,Condition,SNOMED,198288003
438727,Atypical depressive disorder,1,depression,Condition,SNOMED,191659001
440980,Atypical manic disorder,1,bipolar,Condition,SNOMED,191658009
4164151,Auditory hallucinations,1,psychosis,Condition,SNOMED,45150006
439254,"Bipolar affective disorder, current episode depression",1,bipolar,Condition,SNOMED,191627008
440078,"Bipolar affective disorder, current episode manic",1,bipolar,Condition,SNOMED,191618007
435226,"Bipolar affective disorder, current episode mixed",1,bipolar,Condition,SNOMED,192362008
439251,"Bipolar affective disorder, currently depressed, in full remission",1,bipolar,Condition,SNOMED,191634005
439253,"Bipolar affective disorder, currently depressed, mild",1,bipolar,Condition,SNOMED,191629006
437528,"Bipolar affective disorder, currently depressed, moderate",1,bipolar,Condition,SNOMED,191630001
439255,"Bipolar affective disorder, currently manic, in full remission",1,bipolar,Condition,SNOMED,191625000
441834,"Bipolar affective disorder, currently manic, mild",1,bipolar,Condition,SNOMED,191620005
433992,"Bipolar affective disorder, currently manic, moderate",1,bipolar,Condition,SNOMED,191621009
439256,"Bipolar affective disorder, currently manic, severe, with psychosis",1,bipolar,Condition,SNOMED,191623007
35624745,"Bipolar affective disorder, most recent episode mixed",1,bipolar,Condition,SNOMED,767633005
436665,Bipolar disorder,1,bipolar,Condition,SNOMED,13746004
4220618,Bipolar disorder in full remission,1,bipolar,Condition,SNOMED,41836007
436072,Bipolar disorder in partial remission,1,bipolar,Condition,SNOMED,5703000
4310821,Bipolar disorder in remission,1,bipolar,Condition,SNOMED,85248005
35624743,"Bipolar disorder, most recent episode depression",1,bipolar,Condition,SNOMED,767631007
35624744,"Bipolar disorder, most recent episode manic",1,bipolar,Condition,SNOMED,767632000
432876,Bipolar I disorder,1,bipolar,Condition,SNOMED,371596008
4071442,"Bipolar I disorder, most recent episode depressed with catatonic features",1,bipolar,Condition,SNOMED,21900002
35624748,"Bipolar I disorder, most recent episode depression",1,bipolar,Condition,SNOMED,767636002
4150985,"Bipolar I disorder, most recent episode hypomanic",1,bipolar,Condition,SNOMED,31446002
35624747,"Bipolar I disorder, most recent episode manic",1,bipolar,Condition,SNOMED,767635003
432866,"Bipolar I disorder, single manic episode",1,bipolar,Condition,SNOMED,9340000
4148842,"Bipolar I disorder, single manic episode, in full remission",1,bipolar,Condition,SNOMED,3530005
4327669,"Bipolar I disorder, single manic episode, in remission",1,bipolar,Condition,SNOMED,75360000
4307956,Bipolar II disorder,1,bipolar,Condition,SNOMED,83225003
4172156,"Bipolar II disorder, most recent episode hypomanic",1,bipolar,Condition,SNOMED,48937005
4037669,"Bipolar II disorder, most recent episode major depressive",1,bipolar,Condition,SNOMED,16295005
4185096,"Bipolar II disorder, most recent episode major depressive with atypical features",1,bipolar,Condition,SNOMED,43568002
4144519,"Bipolar II disorder, most recent episode major depressive with melancholic features",1,bipolar,Condition,SNOMED,34315001
37109940,Bipolar type I disorder currently in full remission,1,bipolar,Condition,SNOMED,723903001
37117177,Bipolar type II disorder currently in full remission,1,bipolar,Condition,SNOMED,723905008
4168389,Borderline schizophrenia,1,schizo,Condition,SNOMED,274952002
4182683,Brief reactive psychosis,1,psychosis,Condition,SNOMED,5464005
433996,Catatonic schizophrenia,1,schizo,Condition,SNOMED,191542003
434332,Catatonic schizophrenia in remission,1,schizo,Condition,SNOMED,111483008
4103748,Charles Bonnet syndrome,1,psychosis,Condition,SNOMED,193756007
4098314,Chronic anxiety,1,anxiety,Condition,SNOMED,191708009
4197669,"Chronic bipolar I disorder, most recent episode depressed",1,bipolar,Condition,SNOMED,51637008
4001733,"Chronic bipolar II disorder, most recent episode major depressive",1,bipolar,Condition,SNOMED,1196001
441538,Chronic catatonic schizophrenia,1,schizo,Condition,SNOMED,68995007
4103574,Chronic depression,1,depression,Condition,SNOMED,192080009
440368,Chronic disorganized schizophrenia,1,schizo,Condition,SNOMED,12939007
436385,Chronic disorganized schizophrenia with acute exacerbation,1,schizo,Condition,SNOMED,35218008
435235,Chronic latent schizophrenia,1,schizo,Condition,SNOMED,191562006
4031328,"Chronic major depressive disorder, single episode",1,depression,Condition,SNOMED,14183003
4146712,Chronic paranoid psychosis,1,psychosis,Condition,SNOMED,268622001
436944,Chronic paranoid schizophrenia,1,schizo,Condition,SNOMED,31658008
443414,Chronic post-traumatic stress disorder,1,PTSD,Condition,SNOMED,313182004
4094358,Chronic recurrent major depressive disorder,1,depression,Condition,SNOMED,2618002
436673,Chronic residual schizophrenia,1,schizo,Condition,SNOMED,71103003
