concept_id,concept_name,ver7,Keep,hx
373748,Grand mal status,1,1,seizure
374023,Epilepsia partialis continua,1,1,seizure
374915,Localization-related epilepsy,1,1,seizure
374924,Generalized convulsive epilepsy,1,1,seizure
376680,Generalized non-convulsive epilepsy,1,1,seizure
377091,Seizure,1,1,seizure
380378,Epilepsy,1,1,seizure
381842,Petit mal status,1,1,seizure
439654,Partial epilepsy with impairment of consciousness,1,1,seizure
4029498,Seizure disorder,1,1,seizure
4029783,Partial seizure with impaired consciousness,1,1,seizure
4043559,Complex partial status epilepticus,1,1,seizure
4044082,Localization-related symptomatic epilepsy,1,1,seizure
4044227,Myoclonic epilepsy with ragged red fibers,1,1,seizure
4046207,Occipital lobe epilepsy,1,1,seizure
4046211,Cryptogenic generalized epilepsy,1,1,seizure
4046215,Situation-related seizures,1,1,seizure
4046218,Epilepsy undetermined whether focal or generalized,1,1,seizure
4047888,Frontal lobe epilepsy,1,1,seizure
4047895,Localization-related cryptogenic epilepsy,1,1,seizure
4055361,Generalized epilepsy,1,1,seizure
4078332,Partial seizure evolving to secondary generalized seizure,1,1,seizure
4078333,Generalized seizure,1,1,seizure
4079056,Simple partial seizure with somatosensory or special sensory dysfunction,1,1,seizure
4101741,Epileptic seizures - akinetic,1,1,seizure
4101747,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset,1,1,seizure
4102345,Temporal lobe epilepsy,1,1,seizure
4106574,Partial seizure,1,1,seizure
4135349,Post-ictal state,1,1,seizure
4150299,Localization-related idiopathic epilepsy,1,1,seizure
4165417,Complex partial seizure with impairment of consciousness,1,1,seizure
4173765,Atonic seizure,1,1,seizure
4183856,Tonic-clonic seizure,1,1,seizure
4194056,"Simple partial seizure, consciousness not impaired",1,1,seizure
4194232,Absence seizure,1,1,seizure
4194366,Reflex epilepsy,1,1,seizure
4196708,Seizure related finding,1,1,seizure
4197485,Epileptic seizure,1,1,seizure
4198103,Complex partial seizure evolving to generalized seizure,1,1,seizure
4215937,Simple partial seizure with special sensory symptoms,1,1,seizure
4216135,Anoxic seizure,1,1,seizure
4232071,Tonic-clonic epilepsy,1,1,seizure
4233724,Posttraumatic seizure,1,1,seizure
4236312,Complex partial epileptic seizure,1,1,seizure
4251921,Simple partial seizure with autonomic dysfunction,1,1,seizure
4254546,Complex partial seizure + impairment consciousness at onset,1,1,seizure
4261957,Psychomotor epilepsy,1,1,seizure
4263736,Generalized-onset seizures,1,1,seizure
4274575,Idiopathic generalized epilepsy,1,1,seizure
4282301,Todd's paresis,1,1,seizure
4290772,Myoclonic seizure,1,1,seizure
4309257,Refractory localization-related epilepsy,1,1,seizure
4310999,"Epilepsy, not refractory",1,1,seizure
4311977,Refractory epilepsia partialis continua,1,1,seizure
4313035,Simple partial status epilepticus,1,1,seizure
4326435,Post-traumatic epilepsy,1,1,seizure
4332304,Status epilepticus,1,1,seizure
4336820,Olfactory seizure,1,1,seizure
36716899,Single unprovoked seizure,1,1,seizure
37208117,Recurrent seizure,1,1,seizure
40480055,Refractory generalized nonconvulsive epilepsy,1,1,seizure
40483317,Refractory epilepsy,1,1,seizure
40483585,Epilepsy characterized by intractable complex partial seizures,1,1,seizure
40483620,Nonconvulsive status epilepticus,1,1,seizure
42535414,Intractable idiopathic partial epilepsy,1,1,seizure
42873167,Single epileptic seizure,1,1,seizure
43530626,Simple partial seizure,1,1,seizure
43530628,Intractable simple partial epilepsy,1,1,seizure
43530665,Seizure disorder as sequela of stroke,1,1,seizure
43530706,Partial occipital lobe epilepsy,1,1,seizure
43530734,Refractory generalized convulsive epilepsy,1,1,seizure
43531630,Intractable absence seizures,1,1,seizure
45766063,Single seizure,1,1,seizure
46270364,Status epilepticus due to refractory complex partial seizures,1,1,seizure
46270365,Status epilepticus due to generalized idiopathic epilepsy,1,1,seizure
46270366,Status epilepticus due to intractable idiopathic generalized epilepsy,1,1,seizure
46270367,Status epilepticus due to refractory epilepsy,1,1,seizure
46270368,Status epilepticus due to refractory simple partial epilepsy,1,1,seizure
46271795,Refractory idiopathic generalized epilepsy,1,1,seizure
46273399,Complex partial seizure of occipital lobe,1,1,seizure
